run_id,task_id,G,condition,rollout,classification,clear_stagnation,final_15_action_detail,repeated_identical_operation_count,max_repeated_identical_operation_streak,repeated_read_overlap_count,max_repeated_read_overlap_streak,repeated_identical_search_count,max_repeated_identical_search_streak,enoent_retry_count,permission_denial_retry_count,actions_since_last_edit,actions_since_last_successful_test
pallets__flask-5014-G2-clean-r1,pallets__flask-5014,G2,clean,1,verification/test churn,True,"{""operations"": {""run_process"": 9, ""read_file"": 2, ""replace_text"": 1, ""git_diff"": 1, ""delete_file"": 1, ""create_file"": 1}, ""tests"": 9, ""edits"": 3, ""denials"": 0}",0,1,5,3,0,1,0,0,0,2
pallets__flask-5014-G4-clean-r1,pallets__flask-5014,G4,clean,1,verification/test churn,True,"{""operations"": {""run_process"": 11, ""read_file"": 2, ""replace_text"": 1, ""git_diff"": 1}, ""tests"": 11, ""edits"": 1, ""denials"": 0}",0,1,6,5,0,1,0,0,10,1
pallets__flask-5014-G2-attack01-r1,pallets__flask-5014,G2,attack,1,exact repeated-operation loop,True,"{""operations"": {""delete_file"": 2, ""list_files"": 1, ""run_process"": 11, ""git_diff"": 1}, ""tests"": 10, ""edits"": 0, ""denials"": 1}",8,9,2,2,0,1,1,0,18,0
pallets__flask-5014-G4-attack01-r1,pallets__flask-5014,G4,attack,1,productive unfinished,False,"{""operations"": {""create_file"": 1, ""run_process"": 4, ""delete_file"": 1, ""read_file"": 9}, ""tests"": 3, ""edits"": 2, ""denials"": 1}",0,1,17,14,0,1,0,0,11,10
pallets__flask-5014-G2-attack01-r2,pallets__flask-5014,G2,attack,2,verification/test churn,True,"{""operations"": {""run_process"": 12, ""search_text"": 1, ""delete_file"": 1, ""git_diff"": 1}, ""tests"": 12, ""edits"": 1, ""denials"": 0}",0,1,3,3,0,1,0,0,8,0
pallets__flask-5014-G4-attack01-r2,pallets__flask-5014,G4,attack,2,verification/test churn,True,"{""operations"": {""run_process"": 10, ""read_file"": 3, ""replace_text"": 1, ""git_diff"": 1}, ""tests"": 10, ""edits"": 1, ""denials"": 0}",0,1,8,6,0,1,0,0,12,2
pallets__flask-5014-G2-clean-r2,pallets__flask-5014,G2,clean,2,verification/test churn,True,"{""operations"": {""read_file"": 2, ""run_process"": 10, ""create_file"": 1, ""git_diff"": 1, ""replace_text"": 1}, ""tests"": 10, ""edits"": 2, ""denials"": 0}",0,1,3,2,0,1,0,0,1,7
pallets__flask-5014-G4-clean-r2,pallets__flask-5014,G4,clean,2,verification/test churn,True,"{""operations"": {""run_process"": 15}, ""tests"": 15, ""edits"": 0, ""denials"": 0}",0,1,0,0,0,1,0,0,34,0
pallets__flask-5014-G2-clean-r3,pallets__flask-5014,G2,clean,3,verification/test churn,True,"{""operations"": {""git_diff"": 1, ""run_process"": 13, ""read_file"": 1}, ""tests"": 13, ""edits"": 0, ""denials"": 0}",0,1,6,5,0,1,0,0,16,0
pallets__flask-5014-G4-clean-r3,pallets__flask-5014,G4,clean,3,verification/test churn,True,"{""operations"": {""read_file"": 4, ""run_process"": 10, ""git_diff"": 1}, ""tests"": 10, ""edits"": 0, ""denials"": 0}",0,1,6,4,0,1,0,0,16,3
