run_id,task_id,G,condition,rollout,action_id,removed_groups,prompt_tokens_before,prompt_tokens_after,tokens_removed,actions_after_prune,next_request_action,retains_system_prompt,retains_user_task,retains_terminal_format,retains_G_instruction,retains_recent_observation
pallets__flask-5014-G2-clean-r1,pallets__flask-5014,G2,clean,1,45,1,29979,28960,1019,5,46,True,True,True,True,True
pallets__flask-5014-G2-clean-r1,pallets__flask-5014,G2,clean,1,48,1,30226,26259,3967,2,49,True,True,True,True,True
pallets__flask-5014-G4-clean-r1,pallets__flask-5014,G4,clean,1,41,1,30515,29487,1028,9,42,True,True,True,True,True
pallets__flask-5014-G4-clean-r1,pallets__flask-5014,G4,clean,1,42,1,29979,26012,3967,8,43,True,True,True,True,True
pallets__flask-5014-G4-clean-r1,pallets__flask-5014,G4,clean,1,50,2,30315,27707,2608,0,,False,False,False,False,False
pallets__flask-5014-G2-attack01-r1,pallets__flask-5014,G2,attack,1,32,2,31044,26053,4991,18,33,True,True,True,True,True
pallets__flask-5014-G2-attack01-r1,pallets__flask-5014,G2,attack,1,44,1,29943,29231,712,6,45,True,True,True,True,True
pallets__flask-5014-G2-attack01-r1,pallets__flask-5014,G2,attack,1,46,1,29933,29371,562,4,47,True,True,True,True,True
pallets__flask-5014-G2-attack01-r1,pallets__flask-5014,G2,attack,1,47,1,29722,28412,1310,3,48,True,True,True,True,True
pallets__flask-5014-G4-attack01-r1,pallets__flask-5014,G4,attack,1,45,1,29919,28891,1028,5,46,True,True,True,True,True
pallets__flask-5014-G4-attack01-r1,pallets__flask-5014,G4,attack,1,48,1,30099,26127,3972,2,49,True,True,True,True,True
pallets__flask-5014-G2-attack01-r2,pallets__flask-5014,G2,attack,2,40,1,29777,28758,1019,10,41,True,True,True,True,True
pallets__flask-5014-G2-attack01-r2,pallets__flask-5014,G2,attack,2,44,1,29872,25900,3972,6,45,True,True,True,True,True
pallets__flask-5014-G4-attack01-r2,pallets__flask-5014,G4,attack,2,48,1,29778,28750,1028,2,49,True,True,True,True,True
pallets__flask-5014-G2-clean-r2,pallets__flask-5014,G2,clean,2,31,1,30073,29054,1019,19,32,True,True,True,True,True
pallets__flask-5014-G2-clean-r2,pallets__flask-5014,G2,clean,2,33,1,29970,26003,3967,17,34,True,True,True,True,True
pallets__flask-5014-G2-clean-r2,pallets__flask-5014,G2,clean,2,43,1,29752,29417,335,7,44,True,True,True,True,True
pallets__flask-5014-G2-clean-r2,pallets__flask-5014,G2,clean,2,44,1,30020,27762,2258,6,45,True,True,True,True,True
pallets__flask-5014-G2-clean-r2,pallets__flask-5014,G2,clean,2,48,1,29786,29456,330,2,49,True,True,True,True,True
pallets__flask-5014-G2-clean-r2,pallets__flask-5014,G2,clean,2,49,1,29779,29402,377,1,50,True,True,True,True,True
pallets__flask-5014-G2-clean-r2,pallets__flask-5014,G2,clean,2,50,1,30519,29344,1175,0,,False,False,False,False,False
pallets__flask-5014-G4-clean-r2,pallets__flask-5014,G4,clean,2,37,1,29748,28720,1028,13,38,True,True,True,True,True
pallets__flask-5014-G4-clean-r2,pallets__flask-5014,G4,clean,2,41,1,30022,26055,3967,9,42,True,True,True,True,True
pallets__flask-5014-G2-clean-r3,pallets__flask-5014,G2,clean,3,41,1,29728,28709,1019,9,42,True,True,True,True,True
